,date,announcement
10139,1999-03-09,"Dynetics Inc.*, Huntsville, Ala., is being awarded a cost-plus-fixed-fee, indefinite delivery/indefinite quantity contract with a base accrued total of $79,237,407 and a cumulative total of $136,677,253 (a three-year base period and two one-year option periods), for Missile Space Intelligence Command Defensive Systems Analysis Services. The contractor shall provide a coherent and integrated analysis of data related to a variety of defensive weapon systems. The emphasis of this effort is to assess the physical characteristics, performance, signatures, vulnerabilities and employment of defensive systems. Work will be performed in Huntsville, Ala., and is expected to be completed by March 28, 2004. There were 25 bids solicited on Aug. 15, 1998, and one bid was received. The contracting activity is the Virginia Contracting Activity, Washington, D.C. (MDA908-99-D-0001)."
10369,1999-04-08,"The following companies are each being awarded a blanket-purchase agreement against a General Services Administration contract, together valued at an estimated $200,000,000 for Defense Intelligence Agency Information Technology Commodities and Information Technologies Commodities: BTG Inc., Fairfax, Va. (MDA908-99-A-2022); COMPAQ Federal, LLC, Greenbelt, Md. (MDA908-99-A-2023); CWPS Inc.*, Chantilly, Va. (MDA908-99-A-2024); Dell Computer Corp., Round Rock, Texas (MDA908-99-A-2025); Inacom Government Systems Inc., Fairfax, Va. (MDA908-99-A-2026); Intelicom USA*, Woodbridge, Va. (MDA908-99-A-2027); Oracle Corp., Reston, Va. (MDA908-99-A-2028); and Tracor Enterprise Solutions, Reston, Va. (MDA908-99-A-2029). Type of funding and respective dollar amounts will be placed on each delivery order issued. Work will be performed at various locations in the United States, and is expected to be completed by April 8, 2001. Following market research, nine bids were solicited, and eight bids were received. The Virginia Contracting Activity, Washington, D.C., is the contracting activity."
10889,1999-07-15,"Sparta Inc., Laguna Hills, Calif., was awarded on July 14, 1999, a cost-plus-fixed-fee, indefinite delivery/indefinite quantity contract with a base year total of $23,797,959, and a cumulative total of $40,471,200, if all options are exercised. An appropriation number and dollar value will be issued with each delivery order. The contractor will provide scientific and technical assistance to analyze, simulate, measure, test, and evaluate offensive missile systems at the Missile Space Intelligence Command, Defensive Missile System Services. Work will be performed in Huntsville, Ala., and is expected to be completed by July 31, 2004. There were 32 bids solicited on June 17, 1998, and two bids were received. The Virginia Contracting Activity, Washington, D.C., is the contracting activity (MDA908-99-D-0004)."
12173,2000-02-16,"The Boeing Company of Anaheim, Ca., is being awarded a $63,800,000 cost-plus-award-fee modification to the National Missile Defense-Lead System Integrator contract. The award is for expanded and enhanced test capability and the impact of a two-month shift in the original contract award. Work will be performed in Anaheim, Ca., and Huntsville, Al., and is expected to be completed September 29, 2001. Contract funds will not expire at the end of the current fiscal year. This is a sole source contract modification. The contracting activity is the Ballistic Missile Defense Organization, Arlington, Va. is the contracting activity (HQ0006-98-C-0003)."
12546,2000-04-25,"American Seating Co., Grand Rapids, Mich., is being awarded a firm-fixed-price, indefinite delivery/indefinite quantity requirements contract, with a cumulative total of $11,000,000 if all options are exercised. An appropriation number and dollar value will be issued with each delivery order. The contractor will provide systems furniture parts and components for workstations. Work will be performed in Grand Rapids, Mich., and is expected to be completed by Sept. 30, 2004. This is a sole source contract initiated on March 13, 2000. The Virginia Contracting Activity, Washington, D.C., is the contracting activity (MDA908-00-D-0006)."
12755,2000-06-05,"funds will not expire at the end of the current fiscal year. The Naval Air Systems Command, Patuxent River, Md., is the contracting activity. The Entwistle Company of Hudson, Mass., is being awarded a firm-fixed-price contract in the amount of $6,151,160 for 216 catapult trough covers for use on CVN 73, USS George Washington. Work will be performed at Entwistle plants in Hudson, Mass., and is expected to be completed by March 2001. Contract funds will not expire at the end of the current fiscal year. This contract was not competitively procured. The Naval Inventory Control Point, Mechanicsburg, Pa., is the contracting activity (N00104-00-C-CA30)."
13198,2000-08-28,"Advanced Countermeasure Systems*, Rancho Cordova, Calif., was awarded on Aug. 25, 2000, a delivery order amount of $5,526,360 as part of firm-fixed-price contract DATM01-97-D-0002, for 216 Mobile Automated Instrumentation Suite Weapons Performance Systems. Work will be performed in Rancho Cordova, Calif., and is expected to be completed by Sept. 24, 2001. This is a sole source contract initiated on July 12, 2000. The U.S. Army ATEC Contracting Activity, Fort Hood, Texas, is the contracting activity."
13238,2000-08-31,"COLSA Corporation, Huntsville, Ala., is being awarded a firm-fixed-price/cost-plus-fixed-fee, indefinite-delivery/indefinite-quantity contract (cumulative total $24,989,136 two-year base period & three one year option periods) for the maintenance of a supercomputer system. Work will be performed in Huntsville, Ala., and is expected to be completed by September 30, 2005. Contract funds will be placed on each delivery order issued. Bids were solicited electronically on May 3, 2000, and 4 bids were received. The Virginia Contracting Activity, Washington, D.C., is the contracting activity (MDA908-00-D-0011)."
13386,2000-09-20,"Honeywell International Inc., Engines & Systems, Phoenix, Ariz., is being awarded a $15,190,685 increment as part of a $195,649,956 cost-plus-award fee contract for the Abrams-Crusader Common Engine program. The contractor will design and develop the basic engine and/or its major assemblies that are interchangeable between the Abrams and Crusader configurations as defined in the engine specifications and the common Interface Control Documents (ICDs) for Abrams and Crusader. In addition, the contractor will design and develop the Abrams-unique components and develop the Abrams-unique Interface Control Documents (ICDs) which characterize the interface relationships between the engine as configured for the Abrams tank and vehicle system interfacing hardware/software, and fabricate Abrams-prototype hardware, with unique testing and test support for 13. Crusader-unique components will also be designed and developed, as well as the Crusader-unique ICDs, which characterize the interface relationships between the engine, as configured for the Crusader Artillery System, and vehicle system interfacing hardware/software, and fabricate Crusader prototype hardware, with unique testing and test support for 11. Work will be performed in Phoenix, Ariz. (60%), and Lynn, Mass. (40%), and is expected to be completed by March 31, 2004. Contract funds will not expire at the end of the current fiscal year. There was an announcement on the contracting activity website on March 8, 2000, and three bids were received. The U.S. Army Tank-Automotive & Armaments Command, Warren, Mich., is the contracting activity (DAAE07-00-C-N086)."
13387,2000-09-20,"Lockheed Martin IR Imaging Systems Inc., Lexington, Mass., is being awarded an $11,288,300 delivery order as part of a $57,800,000 firm-fixed-price contract. The contractor will provide Thermal Imaging Detector cooler assemblies that are common modules used in all first generation forward looking infrared (FLIR) devices that detect infrared energy and convert it, via electronic circuitry, into an image. These FLIR systems are used on the Apache Helicopter and the M60 and M1 Tanks. Work will be performed in Lexington, Mass., and is expected to be completed by Sept. 20, 2005. Contract funds will not expire at the end of the current fiscal year. There was an announcement on the contracting activity website on April 18, 2000, and one bid was received. The U.S. Army Communications-Electronics Command, Fort Monmouth, N.J., is the contracting activity (DAAB07-00-D-D329)."
13592,2000-10-02,"Advanced Countermeasure Systems, Rancho Cordova, Calif., is being awarded an increment as part of a $10,650,000 modification to cost-plus-fixed-fee and fixed-price delivery order contract DATM01-97-D-0002. An appropriation number and dollar value will be issued with each delivery order. The project is for development, upgrade, repair and low quantity production of Improved Field Data Collector Systems and related instrumentation technology. Work will be performed in Rancho Cordova, Calif., and is expected to be completed by Sept. 30, 2001. This is a sole source contract initiated on June 24, 1997. The U.S. Army ATEC Contracting Activity, Fort Hood, Texas, is the contracting activity."
15258,2001-08-22,"Raytheon Co., Command, Control, Communication and Information Systems, Huntsville, Ala., is being awarded a $1,117,218 increment as part of a $110,119,005 cost-plus-fixed-fee, cost-plus-incentive-fee and fixed-price-incentive fee contract for the Army Airborne Command and Control System (A2C2S), an on-the-move command and control system that will enable commanders and their staffs to maintain digital connectivity while operating from a temporary remote site or moving through the battle space at speeds up to 300 kilometers per hour. Work will be performed in Huntsville, Ala. (2%); Fort Wayne, Ind. (15%); Waco, Texas (37%); and Taunton, Mass. (46%), and completion is expected by Sept. 30, 2005. Contract funds will not expire at the end of the current fiscal year. There was an announcement on March 26, 2001, and five bids were received. The contracting activity is the U.S. Army Aviation & Missile Command, Redstone Arsenal, Ala., is the contracting activity (DAAH01-01-C-0139)."
15731,2001-10-01,"Test and Experimentation Services Co., Reston, Va., was awarded on Sept. 28, 2001, a $12,332,080 modification to cost-reimbursement with award-fee contract DATM01-96-C-0005 for technical support services. Work will be performed at Fort Hood, Texas, and completion is expected by Feb. 28, 2002. This is a sole source contract initiated in September 1996. The U.S. Army ATEC Contracting Activity, West Fort Hood, Texas, is the contracting activity."
17045,2002-05-07,"On May 1, 2002, Booz Allen & Hamilton, McLean, Va., was awarded a $24,595,291 modification to a general service administration based blanket purchasing agreement order contract (MDA908-02-A-0024) for Defense Intelligence Agency Information Technology Commodities (DTIC) and Information Technologies (IT) Commodities. Work will be performed in Washington, D.C., and is to be completed by April 19, 2006 or upon completion of applicable GSA Schedule. Contract funds will not expire at the end of the current fiscal year. There were seven bids solicited on utilizing market research, and two bids were received. The Virginia Contracting Activity, Washington, D. C. is the contracting activity."
17653,2002-08-26,"EMC Corp., McLean, Va., was awarded on Aug. 22, 2002, a $5,981,250 modification to a blanket purchase agreement contract for the Disaster Recovery Project/Storage Area Network. Work will be performed in Washington, D.C., and is expected to be completed by Aug. 21, 2012. Contract funds will not expire at the end of the current fiscal year. There were five bids solicited on July 10, 2002, and four bids were received. The Virginia Contracting Activity, Washington, D.C., is the contracting activity (MDA908-02-A-0032)."
18895,2003-02-20,"EUKOR Car Carriers, Inc., Englewood Cliffs, N.J., is being awarded an estimated $5,400,000 firm-fixed-price contract with reimbursables for the 90-day time charter of a roll-on/roll-off ship to carry military cargo. The foreign-flagged ship will operate in strategic locations worldwide during the contract period. Contract funds will expire at the end of the current fiscal year. This contract was competitively procured, with eight offers received. The Military Sealift Command, Washington, D.C., is the contracting activity (N00033-03-C-5522). Cobelfret Ferries NV, Antwerp, Belguim, is being awarded an estimated $5,000,000 firm-fixed-price contract with reimbursables for the 90-day time charter of a roll-on/roll-off ship to carry military cargo. The foreign-flagged ship will operate in strategic locations worldwide during the contract period. . Contract funds will expire at the end of the current fiscal year. This contract was competitively procured, with eight offers received. The Military Sealift Command, Washington, D.C., is the contracting activity (N00033-03-C-5529)."
21506,2004-02-20,"Al-Hashimite Co.*, Baghdad, Iraq, was awarded on Feb. 18, 2004, a $10,332,000 firm-fixed-price contract for 25,200 Level III body armor vests and ceramic plate sets for the Iraq Civil Defense Corps. Work will be performed in the United Kingdom and is expected to be completed by June 25, 2004. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Nov. 28, 2003, and 59 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-C-0100)."
21987,2004-04-21,"Brigade Quartermasters Ltd.*, Kennesaw, Ga., was awarded on April 20, 2004, a delivery order amount $4,197,756 as part of a $9,634,257 firm-fixed-price contract for six-color desert camouflage uniform items. Work will be performed in Kennesaw and is expected to be completed by Jan. 31, 2005. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Feb. 10, 2004, and 124 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-D-0106)."
21988,2004-04-21,"Safety and Security International L.L.C.*, Brentwood, Tenn., was awarded on April 20, 2004, a delivery order amount $2,753,718 as part of a $9,723,581 firm-fixed-price contract for six-color desert camouflage uniform items. Work will be performed in Brentwood and is expected to be completed by Jan. 31, 2005. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Feb. 10, 2004, and 124 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-D-0114)."
21994,2004-04-21,"Highcom Security Inc.*, San Francisco, Calif., was awarded on April 20, 2004, a delivery order amount $11,250 as part of a $9,261,492 firm-fixed-price contract for six-color desert camouflage uniform items. Work will be performed in San Francisco and is expected to be completed by Jan. 31, 2005. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Feb. 10, 2004, and 124 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-D-0107)."
21995,2004-04-21,"Uniforms Manufacturing Inc.*, Scottsdale, Ariz., was awarded on April 20, 2004, a delivery order amount $11,010 as part of an $11,461,770 firm-fixed-price contract for six-color desert camouflage uniform items. Work will be performed in Scottsdale and is expected to be completed by Jan. 31, 2005. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Feb. 10, 2004, and 124 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-D-0113)."
22006,2004-04-22,"Science Applications International Corp., Huntsville, Ala., was awarded on April 20, 2004, a delivery order amount of $0 as part of a $10,369,634 cost-plus-fixed-fee contract for a Missile and Space Intelligence Center Signature Measurement and Prediction Analysis Support. Work will be performed in Huntsville, Ala., and is expected to be completed by April 22, 2009. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Nov. 25, 2003, and one bid was received. The Virginia Contracting Activity, Huntsville, Ala., is the contracting activity (HHM402-04-D-0008)."
22020,2004-04-23,"Dynetics Inc.*, Huntsville, Ala., was awarded on April 21, 2004, a delivery order as part of a $137,720,413 cost-plus-fixed-fee contract for Analysis of data related to a variety of defensive weapon systems. Work will be performed in Huntsville, Ala., and is expected to be completed by April 20, 2009. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Dec. 3, 2003, and one bid was received. The Virginia Contracting Activity, Huntsville, Ala., is the contracting activity (HHM402-04-D-0007)."
22149,2004-05-11,"Defense Contracting and Consulting L.L.C.*, Huntington Beach, Calif., was awarded on May 7, 2004, a delivery order amount of $586,409 as part of a $17,430,259 firm-fixed-price contract for police and police related equipment including riot gear. Work will be performed in Iraq, and is expected to be completed by May 6, 2005. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Feb. 23, 2004, and 17 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-D-0119)."
22281,2004-05-27,"PAE Government Services Inc., Los Angeles, Calif., was awarded on May 25, 2004, a delivery order amount of $1,676,520 as part of a $27,354,000 firm-fixed-price contract for 4,000 basic firefighters to be trained within two years in Iraq. Work will be performed in Iraq, and is expected to be completed by May 24, 2006. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Feb. 23, 2004, and 13 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-D-0133)."
22335,2004-06-03,"Ohio Ordnance Works Inc.*, Chardon, Ohio, was awarded on May 31, 2004, a delivery order amount of $352,314 as part of a $42,179,877 firm-fixed-price contract for 7.62X39mm, 7.62X54mm, and 9X19mm ammunition and blanks. Work will be performed in Chardon, Ohio, and is expected to be completed by Jan. 31, 2005. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on March 6, 2004, and 21 bids were received. The Coalition Provisional Authority Contracting Activity, Baghdad, Iraq, is the contracting activity (W914NS-04-D-0108)."
23040,2004-09-13,"Northrop Grumman Systems Corp., Integrated Systems Sector, Airborne Ground Surveillance and Battle Management Systems, Melbourne, Fla., is being awarded a $62,000,000 cost plus award fee contract modification. The E-10A is the next generation wide area surveillance platform designed to provide advanced integrated ground and air surveillance and targeting capabilities to provide the warfighter a Battle Management Command and Control (BMC2) force multiplier that detects, classifies, characterizes and reports cruise missiles and surface targets to the joint forces within a networked Multi-Sensor Command and Control Constellation environment. This action covers the period of performance extension to the Pre-System Development and Demonstration Phase of this Program. At this time no funds have been obligated. This work will be complete by October 2005. The Electronic Systems Center, Hanscom Air Force Base, Mass., is the contracting activity (F19628-03-C-0014/P00014). At this time, $4,300,000 of the funds has been obligated. This work will be complete by December 2005. Negotiations were complete Sept 2004. The Electronic Systems Center, Hanscom Air Force Base, Mass., is the contracting activity (F19628-03-C-0014, P00015)."
27142,2006-02-13,"Advatech Pacific, Inc., Redlands, Calif., was awarded on 16 December 2005, a $9,500,000 cost plus fixed fee/indefinite delivery, indefinite quantity contract to provide for a new SBIR phase III contract, solicitation DAAH01-99-C-RO67 successful phase I effort. The primary technical objective of this agreement it to establish a five-year contract to develop the engineering design and analysis tools needed that model the physics related to propulsion. Individual task orders will issue against the contract upon availability of government funds. The objective of the Architecture Use of System Integration (AUSI) program will focus on enhancing current tools sets in order to respond to the Air Force’s need to for improved/integrated design and analysis tools for improved modeling and simulation. These tools sets will include Integrate Propulsion Analysis Tool (IPAT), Rocket Engine Transient Simulation, (ROCETS), Advanced Fuels Testing Analysis (AFTA), and Cost. Effective cost analysis tools will also need to be developed to aide in the predicting of the cost incurred in the life-cycle of a program. The Research and Development technology will enable users to utilize several programs simultaneously to quickly solve multidisciplinary problems at low cost. The program can analyze factors such as cost, schedule, design, configurations and performance. The integrated packages will reduce the inefficiency of interfacing between several analysis groups. At this time no funds have been obligated. This work will be complete by November 2010. The Headquarters Air Force Flight Test Center, Edwards Air Force Base, Calif., is the contracting activity. (FA9300-06-D-0003) Advatech Pacific, Inc., Redlands, Calif., is being awarded a $9,500,000 cost-plus fixed fee/Indefinite Delivery, Indefinite Quantity contract fee contract modification to provide for a new SBIR Phase III, which will provide for technical objective of this agreement is to establish a five-year contract to develop the engineering design and analysis tools needed that model the physics related to propulsion. The basic contract will have provisions for both incremental funding and full funding. This work will be complete by November 2010. The Headquarters Flight Test Center, Edwards Air Force Base, Calif., is the contracting activity. (FS9300-06-D-0002)"
27875,2006-09-08,"VT Griffin Services, Atlanta, Ga., is being awarded a maximum $13,188,080 firm-fixed-price, indefinite-delivery/indefinite-quantity contract to provide all labor, equipment, materials, transportation, and supervision necessary to perform roofing repairs, and incidental related work. This contract contains options, which is exercised, will bring the not to exceed value of the contract to $27,043,770. Work will be performed in San Diego County, with the majority of the work being performed at Marine Corps Base, Camp Pendleton, and Seal Beach Annex, Naval Weapons Station Center, Fallbrook, Calif., and is expected to be completed by September 2007 (September 2009 with options). Contract funds in the amount of $5,000 will expire at the end of the current fiscal year. This contract was competitively procured with three proposals solicited and three offers received. The Regional Office in Charge of Construction, Camp Pendleton, Calif., is the contracting activity (N62473-06-D-1011). Ensign-Bickford Aerospace & Defense Co., Simsbury, Conn.*, is being awarded a $12,613,578 indefinite-delivery/indefinite-quantity contract for production, testing, and delivery of the Anti-Personnel Obstacle Breaching System. The base year is for a quantity of 200 first article test units, testing support, technical data, inert models and a maximum of 3000 production units. This contract includes options which, if exercised, would bring the cumulative value of this contract to $150,816,130. Work will be performed in Graham, Ky. (80 percent) and Simsbury, Conn. (20 percent), and is expected to be completed by September 2007. Contract funds will not expire at the end of the current fiscal year. This contract was competitively procured via publication on the Federal Business Opportunities and Navy Electronic Commerce On-line, with 3 offers received. The Marine Corps Systems Command, Quantico, Va., is the contracting activity (M67854-06-D-1021)."
27876,2006-09-08,"Wintara-Salihi Group Inc.*, Fort Washington, Md., was awarded on Sept. 4, 2006, a $9,450,176 firm-fixed-price contract for Installation of a remote monitoring system. Work will be performed in Baghdad, Iraq, and is expected to be completed by Jan. 31, 2007. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on May 20, 2006, and four bids were received. The Joint Contracting Command, Baghdad, Iraq, is the contracting activity (W91GXY-06-C-0093). Great Lakes Dredge & Dock Co., L.L.C., Oak Brook, Ill., was awarded on Sept. 6, 2006, a $6,589,340 firm-fixed-price contract for maintenance dredging. Work will be performed in Philadelphia, Pa., and is expected to be completed by Dec. 31, 2006. Contract funds will not expire at the end of the current fiscal year. There were 29 bids solicited on July 18, 2006, and three bids were received. The U.S. Army Corps of Engineers, Philadelphia, Pa., is the contracting activity (W912BU-06-C-0016). The Ross Group*, Tulsa, Okla., was awarded on Sept. 1, 2006, a delivery order amount of $5,561,388 as part of a $36,435,544 firm-fixed-price contract for design and renovation of barrack buildings. Work will be performed at Fort Riley, Kan., and is expected to be completed by Dec. 15, 2007. Contract funds will not expire at the end of the current fiscal year. There were four bids solicited on May 31, 2006, and two bids were received. The U.S. Army Corps of Engineers, Kansas City, Mo., is the contracting activity (W912DQ-04-D-0003). Veteran/Pacific (Joint Venture)*, Chicago, Ill., was awarded on Aug. 31, 2006, a $5,037,015 firm-fixed-price contract for the design and construction of the Surface Deployment and Distribution Command Facility. Work will be performed at Scott Air Force Base, Ill., and is expected to be completed by May 10, 2007. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on July 21, 2006, and three bids were received. The U.S. Army Corps of Engineers, Louisville, Ky., is the contracting activity (W912QR-06-C-0049). * Small Business"
27877,2006-09-11,"ARMY AM General L.L.C., South Bend, Ind., was awarded on Sept. 7, 2006, an $88,619,583 modification to a firm-fixed-price contract for M1151A1 with Kit B, M1152, and M1165 high mobility multipurpose wheeled vehicles. Work will be performed in South Bend, Ind., and is expected to be completed by Dec. 31, 2007. Contract funds will not expire at the end of the current fiscal year. This was a sole source contract initiated on July 17, 2000. The U.S. Army Tank-Automotive and Armaments Command, Warren, Mich., is the contracting activity (DAAE07-01-C-S001). REEP Inc., Manchester, N.H., was awarded on Sept. 3, 2006, a delivery order amount of $41,200,000 as part of a $250,000,000 firm-fixed-price contract for bilingual bicultural advisor / subject matter expert services. Performance location will be determined with each delivery order, and is expected to be completed by April 15, 2007. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on Aug. 19, 2006, and three bids were received. The Joint Contracting Command, Baghdad, Iraq, is the contracting activity (W91GER-06-D-0006). EAI Corp., Abington, Md., was awarded on Aug. 28, 2006, a delivery order amount of $22,459,000 firm-fixed-price contract for integration and upgrade of analytical laboratory systems assigned to National Guard Units. Work will be performed in Abingdon, Md. (98 percent), and Dallastown, Pa. (2 percent), and is expected to be completed by Aug. 13, 2008. Contract funds will not expire at the end of the current fiscal year. There were two bids solicited on June 16, 2006, and two bids were received. The U.S. Army Research, Development, and Engineering Command, Aberdeen Proving Ground, Md., is the contracting activity (W911SR-04-D-0014). J.D. Abrams L.L.P., Austin, Texas, was awarded on Aug. 30, 2006, a delivery order amount of $20,144,932 as part of a $78,050,761 firm-fixed-price contract for the materials, equipment, and labor for the construction of the Bridge Combat Team – 2 Infrastructure. Work will be performed at Biggs Airfield, Fort Bliss, Texas, and is expected to be completed by March 30, 2007. Contract funds will not expire at the end of the current fiscal year. There were five bids solicited on Aug. 1, 2006, and four bids were received. The U.S. Army Corps of Engineers, Fort Worth, Texas, is the contracting activity (W9126G-06-D-0030)."
27879,2006-09-11,"GM GDLS Defense Group L.L.C. (Joint Venture), Sterling Heights, Mich., was awarded on Sept. 7, 2006, a $13,102,756 modification to a cost-plus-fixed-fee contract for repair of Stryker Vehicles returning from Operation Iraqi Freedom. Work will be performed in Doha, Qatar (80 percent), Sterling Heights, Mich. (10 percent), and London, Canada (10 percent), and is expected to be completed by June 30, 2007. Contract funds will not expire at the end of the current fiscal year. This was a sole source contract initiated on March 31, 2006. The U.S. Army Tank-Automotive and Armaments Command, Warren, Mich., is the contracting activity (DAAE07-02-C-B001). DRS Training and Control Systems Inc., Fort Walton Beach, Fla., was awarded on Aug. 30, 2006, a $10,043,974 increment as part of a $56,983,884 firm-fixed-price contract for Driver’s Vision Enhancer A-Kits. Work will be performed in Fort Walton Beach, Fla., and is expected to be completed by Aug. 30, 2008. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the World Wide Web on May 22, 2006, and four bids were received. The U.S. Army Communications-Electronics Command, Fort Monmouth, N.J., is the contracting activity (W15P7T-06-C-W006)."
27884,2006-09-25,"Dominion Virginia Power, Portsmouth, Va., is being awarded a maximum $214,076,898 firm fixed price contract with re-determination for ownership, operation and maintenance of the electrical distribution system at Fort Belvoir, Va., for Army. Contract has a 50-year contract period. There were 250 proposals solicited and 1 responded. Contract funds will not expire at the end of the current fiscal year. Date of performance completion is 2057. Contracting activity is Defense Energy Support Center (DESC), Fort Belvoir, Va. (SP0600-06-C-8252). Dominion Virginia Power, Portsmouth, Va., is being awarded a maximum $73,283,703 firm fixed price contract with re-determination for ownership, operation and maintenance of the electrical distribution system at Fort Myer, Va., for Army. Location of performance is Fort McNair, Washington, D.C. Contract has a 50-year contract period. There were 250 proposals solicited and 1 responded. Contract funds will not expire at the end of the current fiscal year. Date of performance completion is 2057. Contracting activity is Defense Energy Support Center (DESC), Fort Belvoir, Va. (SP0600-06-C-8251)."
27896,2006-10-27,"Bechtel National Inc., San Francisco, Calif., was awarded on Oct. 25, 2006, a delivery order amount of $99,909,216 as part of a $518,621,475 cost-plus-fixed-fee contract for implementation of chemical agent decontamination, dismantlement, decommissioning, and waste disposal technologies for the closure of the Aberdeen Chemical Agent Disposal Facility. Work will be performed at Aberdeen Proving Ground, Md., and is expected to be completed by Sept. 30, 2007. Contract funds will not expire at the end of the current fiscal year. This was a sole source contract initiated on Dec. 2, 2004. The U.S. Army Sustainment Command, Rock Island, Ill., is the contracting activity (DAAA09-02-G-0005). Tribalco L.L.C.*, Bethesda, Md., was awarded on Oct. 25, 2006, a $9,712,084 firm-fixed-price contract for information technology support services. Work will be performed at Camp Victory, Baghdad, Iraq, and is expected to be completed by Oct. 25, 2007. Contract funds will not expire at the end of the current fiscal year. This was a sole source contract initiated on Sept. 29, 2006. The Joint Contracting Command, Baghdad, Iraq, is the contracting activity (W91GEU-07-C-0007). L-3 Communications, Camden, N.J., was awarded on Oct. 26, 2006, a $6,562,499 firm-fixed-price contract for M935 PD fuzes. Work will be performed in Cincinnati, Ohio (5.9 percent), Camden, Ark. (5.8 percent), and Camden, N.J. (76.6 percent), and is expected to be completed by Oct. 25, 2010. Contract funds will not expire at the end of the current fiscal year. There were an unknown number of bids solicited via the world wide web on June 26, 2006, and two bids were received. The U.S. Army Sustainment Command, Rock Island, Ill., is the contracting activity (W52P1J-07-C-0005). Schutt Industries Inc., Clintonville, Wis., was awarded on Oct. 25, 2006, a delivery order amount of $5,132,200 as part of a $5,132,200 firm-fixed-price contract for Common 22 shop set. Work will be performed in Clintonville, Wis., and is expected to be completed by Sept. 30, 2011. Contract funds will not expire at the end of the current fiscal year. There were three bids solicited on Sept. 18, 2006, and one bid was received. The U.S. Army Tank-Automotive and Armaments Command, Rock Island, Ill., is the contracting activity (DAAE20-03-D-0094)."
27898,2006-10-27,"Electric Boat Corporation, Groton, Conn., is being awarded a $58,696,793 cost-plus-fixed-fee contract modification under previously awarded contract N00024-04-C-2100, for consolidated design agent, planning yard, engineering and technical support for active nuclear submarines. This modification provides for updated drawings and related data that document ship configurations and deviations for operational submarines, planning, scheduling and technical support, to ensure accomplishment of operational submarine engineered overhauls/extended refit periods. Work will be performed in Groton, Conn. (59 percent); Bangor, Wash. (19 percent); Kings Bay, Ga. (16 percent); Newport, R.I. (5 percent); and Quonset, R.I. (1 percent), and is expected to be completed by September 2007. Contract funds in the amount of $58,696,793 will expire at the end of the current fiscal year. The Naval Sea Systems Command, Washington, D.C., is the contracting activity. Sensor Technology Systems Inc.,* Beavercreek, Ohio, is being awarded a $6,396,196 firm-fixed-price contract for 400 AN/PVS-21 low profile night vision goggles to support Training and Education Command (TECOM) requirements. Work will be performed in Beavercreek, Ohio, and is expected to be completed by August 2007. Contract funds will not expire at the end of the current fiscal year. This contract was not competitively procured. The Marine Corps Systems Command, Quantico, Va., is the contracting activity (M67854-06-C-1013). * Small Business"
